M     Rho           Eps           P             T	Teff	L
0.5     2.492e+04     2.295e-03     6.680e+15     2.002e+07	2346.117	0.02168
0.7     3.264e+03     5.426e-01     9.523e+15     2.178e+08	3545.102	0.13096
0.75     4.817e+03     8.122e-01     1.013e+16     1.570e+08	3848.435	0.18775
0.8     5.090e+03     1.029e+00     1.101e+16     1.614e+08	4172.995	0.26506
0.9     7.679e+03     1.516e+00     1.258e+16     1.223e+08	4818.775	0.49170
1     2.504e+03     6.217e-01     1.552e+16     4.625e+08	5561.261	0.87825
2     9.615e+03     1.531e+01     1.916e+16     1.484e+08	11212.629	22.50058
4     6.684e+03     8.248e+01     1.017e+16     1.122e+08	17877.591	340.61243
6     3.560e+03     2.695e+02     6.629e+15     1.351e+08	22291.504	1373.28220
8     2.838e+04     1.678e+01     5.007e+15     1.251e+07	25596.310	3414.11035
10     6.841e+03     5.300e+01     3.946e+15     3.980e+07	28201.394	6620.73893
