   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
1.378E+09    0.000E+00    1.230E+29    1.737E+04    2.411E+03    0.000E+00    7.734E-02    0.000E+00     *      99.9
1.376E+09    4.863E-14    1.230E+29    6.781E+03    1.604E+00    1.180E-08    1.696E+00    1.086E-85     r       2.3
1.375E+09    1.815E-13    1.230E+29    1.833E+04    1.409E+01    5.741E-08    2.155E-01    2.081E-63     r       1.7
1.374E+09    3.382E-13    1.230E+29    2.124E+04    2.883E+01    1.014E-07    2.049E-01    1.550E-60     r       4.7
1.374E+09    4.623E-13    1.230E+29    2.126E+04    4.052E+01    1.424E-07    2.577E-01    2.249E-60     *      99.9
1.374E+09    5.420E-13    1.230E+29    2.127E+04    4.804E+01    1.687E-07    2.897E-01    2.731E-60     *      99.9
1.374E+09    5.794E-13    1.230E+29    2.128E+04    5.158E+01    1.811E-07    3.042E-01    2.967E-60     *      99.9
1.374E+09    5.914E-13    1.230E+29    2.128E+04    5.270E+01    3.500E-09    4.548E-02    5.757E-62     *      99.9
1.374E+09    5.923E-13    1.230E+29    2.128E+04    5.279E+01    3.810E-09    4.628E-02    6.267E-62     *      99.9
1.373E+09    5.945E-13    1.230E+29    2.128E+04    5.299E+01    4.514E-09    4.807E-02    7.427E-62     *      99.9
1.373E+09    6.000E-13    1.230E+29    2.128E+04    5.351E+01    6.338E-09    5.246E-02    1.043E-61     *      99.9
1.372E+09    6.185E-13    1.230E+29    2.128E+04    5.527E+01    1.249E-08    6.576E-02    2.058E-61     *      99.9
1.371E+09    7.254E-13    1.230E+29    2.129E+04    6.542E+01    4.789E-08    1.270E-01    7.986E-61     *      99.9
1.370E+09    8.651E-13    1.230E+29    2.130E+04    7.873E+01    9.407E-08    1.934E-01    1.609E-60     *      99.9
1.370E+09    9.792E-13    1.230E+29    2.131E+04    8.962E+01    1.317E-07    2.421E-01    2.317E-60     *      99.9
1.370E+09    1.052E-12    1.230E+29    2.133E+04    9.661E+01    1.557E-07    2.715E-01    2.798E-60     *      99.9
1.370E+09    1.094E-12    1.230E+29    2.133E+04    1.006E+02    1.693E-07    2.877E-01    3.081E-60     *      99.9
1.370E+09    1.188E-12    1.230E+29    2.135E+04    1.095E+02    1.999E-07    3.230E-01    3.759E-60     *      99.9
1.369E+09    1.241E-12    1.230E+29    2.136E+04    1.146E+02    2.173E-07    3.424E-01    4.166E-60     r      91.5
1.369E+09    1.362E-12    1.230E+29    2.139E+04    1.261E+02    2.563E-07    3.845E-01    5.162E-60     r      78.2
1.369E+09    1.430E-12    1.230E+29    2.140E+04    1.327E+02    2.783E-07    4.074E-01    5.775E-60     r      67.1
1.369E+09    1.466E-12    1.230E+29    2.141E+04    1.361E+02    2.900E-07    4.193E-01    6.118E-60     r      62.0
1.369E+09    1.543E-12    1.230E+29    2.143E+04    1.435E+02    3.147E-07    4.441E-01    6.889E-60     r      57.2
1.369E+09    1.584E-12    1.230E+29    2.144E+04    1.474E+02    3.279E-07    4.570E-01    7.323E-60     r      52.8
1.369E+09    1.671E-12    1.230E+29    2.147E+04    1.557E+02    3.556E-07    4.837E-01    8.309E-60     r      48.7
1.369E+09    1.717E-12    1.230E+29    2.148E+04    1.602E+02    3.704E-07    4.975E-01    8.871E-60     r      45.0
